report,datetime,coords,Did you follow the GTOA protocol (drop sails\ stop boat\ engine off and keep a low profile) and how long did the interaction continue?,Boat Type,Boat length (metres),Were you towing an inflatable and if so did the orcas interact with it before interacting with the boat?,Were you trailing a fishing lure when the interaction commenced?,During the Interaction did one or more orcas make physical contact with the boat?,Number of adult orcas seen,Rudder,Motoring or sailing,Speed (knots),Sea state,Wind speed (Beaufort),Darkness or daylight,Cloud cover,Distance off land (nautical miles),Depth (metres),Depth gauge,Autopilot,Hull topsides colour,Antifoul colour,Was the boat damaged and in need of repair?,Was a tow required?,Response by crew,Behaviour of orcas,Stage of day,Moon,Tide,Number of juvenile orcas seen,Did you manage to reverse before the orca hit the boat?,Did the orca hit the rudder?,Did the orca hit the bow?,Did any method stop the orca hitting the rudder? (Tick any method that worked),Did they return?,Number of orcas\ uncertain of age\ seen,How did you reverse? (Tick any method you tried),How long did you reverse for?,If you reversed in a circle did the orcas hit the rudder by coming from,Did the orca leave the area when you reversed?,Please describe the behaviour of the orca before and during reversing,When they returned were you
Report ID: Inter136,2023-04-29 08:00:00,36 6.0000 N\ 5 54.0000 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,Over 15m,Not towing,,,,Twin rudder,Motorsailing,8 - 11,Moderate,5 - 6 (17 - 27 knots),Dawn,25 - 50%,5 - 10,,On,On,Dark colour,Black,No,No,Au petit matin\ alors que nous avions traversé Gibraltar en fin de nuit et avec de l'air\ nous remontions vers Faro en motor sailing dans une mer modérée\ 2 orques de taille moyenne sont arrivés par notre avant tribord\ et ils ont tout de suite attaqué les safrans (surtout le safran tribord\ nous étions bâbord amure). Mon équipier de quart nous a immédiatement alerté\ il a coupé le pilote et pris la barre. Il a subit entre 6 et 7 coups sur le safran. J'ai indiqué notre position immédiatement au MRCC Tarifa. Nous avons coupé le moteur. Nous avions préparé un "Pinger" (répulsif que les pécheurs installent sur leur filet pour éviter aux cétacés de se prendre dans leur filets\ qui émettent des ondes basse-fréquence). Le temps de le mettre à l'eau\ et sans pouvoir le confirmer\ les orques sont partis dans le même moment. Notre bateau est un bateau de 65 pieds de régate\ tout en carbon\ donc très raide\ avec des safrans en carbon également\ ce qui a pu contribuer à leur désintéressement. Une fois les orques repartis\ nous avons plongé la camera pour repérer d'éventuels impacts ou avaries\ et heureusement rien n'a été a signalé. Dans l'heure qui a suivi\ même après avoir tenu informé le MRCC Tarifa\ une vedette des secours espagnols en provenance de Cadiz est venue à notre rencontre./// In the early morning\ when we had crossed Gibraltar at the end of the night and with wind\ we were going up towards Faro by motor sailing in moderate seas\ 2 medium-sized killer whales arrived by our starboard bow\ and they immediately attacked the rudders (especially the starboard rudder\ we were on port tack). My crewmate alerted us immediately\ he switched off the autopilot and took the helm. we suffered between 6 and 7 hits on the rudder. I reported our position immediately to MRCC Tarifa. We shut down the engine. We had prepared a "Pinger" (repellent that fishermen install on their net to prevent cetaceans from getting caught in their nets\ which emit low-frequency waves). It took time to put it in the water\ and without being able to confirm it\ the killer whales left at the same time. Our boat is a 65-foot racing boat\ all in carbon\ so very stiff\ with carbon rudders as well\ which may have contributed to their lack of interest. Once the killer whales left\ we lowered the camera to identify any impacts or damage\ and fortunately nothing was reported. In the following hour\ even after keeping the MRCC Tarifa informed\ a Spanish rescue boat from Cadiz came to meet us.,Les orques sont arrivés rapidement\ et ont tout de suite attaqué les safrans à plusieurs reprises. Ils tapaient fort. Nous appréhendions qu'ils puissent casser les mèches de safran./// The orcas arrived quickly\ and immediately attacked the rudders several times. They were hitting hard. We feared that they might break the rudder cables.,daytime,waxing\63% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter135,2023-05-12 15:00:00,36 7.0000 N\ 5 58.0500 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Full skeg,Motorsailing,5 - 7,Moderate,5 - 6 (17 - 27 knots),Day,0 - 25%,0 - 2,20 - 40m,On,On,White/light,Blue,Yes\ extensive - major works required,Yes,The orcas attacked the boat directly on the first approach. Maximum 30 seconds from the first sighting to the damage. The fixation of the rudder quadrant broke on our extremely strong build aluminum boat. We take down sails and stopped engine. Attacks up to 5 minutes\ than 25 min nothing\ than another attack to the drifting boat.,,daytime,waning\50% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter133,2023-05-07 06:30:00,35 59.4940 N\ 5 59.4310 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,Over 15m,Not towing,,,,Spade,Motorsailing,8 - 11,Moderate,3 - 4 (7 - 16 knots),Dawn,25 - 50%,5 - 10,200m+,On,On,Dark colour,Blue,Yes\ moderate - immediate repairs required,No,Orca bumped boat 'lightly' - we weren't 100% sure. 20 seconds later a big smash. We tried to get to helm to turn off auto helm but didn't make it before a big push and boat turned to port breaking auto helm chain & cable connecting twin helms. At this point we reached throttle and engaged full astern for 1 minute. We also flushed some waste down the toilets from holding tanks. The rudder blade was snapped 2ft from the hull (6ft rudder blade). Our yacht has a 25t displacement. I'm not sure if the Orcas stopped because there was no rudder left to attack or because of our actions. We then carried on motoring on our course. Whole interaction from start to finish less than 5 minutes.,We only clearly saw 1 orca but there could have been more.,daytime,waning\97% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter132,2023-05-11 16:35:00,36 7.6000 N\ 5 57.9000 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motorsailing,3 - 4,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,2 - 5,40 - 200m,On,On,White/light,Black,No,No,3 orques sont venus autour du bateau. Le plus grand s'est frotté le long de la coque sans donner de grands coups. Le moteur à été coupé et nous sommes équipé d'un pinger qui a suscité de l'intérêt car le plus gros est passé sur le dos sous le bateau et s est arrêté à l'endroit ou le pinger était installé. Nous avons mis une barre de fer dans l'eau et avons frappé dessus pour les faire fuir. L'interaction s est terminée dans la foulée./// 3 orcas came around the boat. The biggest rubbed along the hull without giving great blows. The engine was cut and we were equipped with a pinger which aroused interest because the biggest one passed on its back under the boat and stopped at the place where the pinger was installed. We put an iron bar in the water and hit it to scare them away. The interaction ended immediately.,Le comportement était calme et plutôt curieux./// The demeanor was calm and rather curious.,daytime,waning\61% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter131,2023-05-08 22:30:00,35 53.4000 N\ 5 48.3000 W,Yes\ followed protocol\ interaction lasted more than 60 minutes,Sail,Over 15m,Not towing,,,,Twin rudder,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Night,25 - 50%,Over 10,200m+,On,On,White/light,Red,Yes\ extensive - major works required,No,Approaching the TSS we had come from Lanzerote. We were under motor at roughly 7 knots when there was a wobble of the boat and the port helm was unresponsive i then saw a chunk of rudder float up at the transom and wondered if we had got a semi submerged container. At this point we saw the 3 attacking whales. We stopped and shut the engines off but they continued to attack the rudders - we called Tarifa Traffic and reported the attack to them. Due to traffic we had to try and move when they moved away from the boat after around 30 minutes of continued attacks on the rudder so I tried to motor but they had damaged the rudder so badly on port side it was facing backwards and I could not steer. Luckily they came back when we tried to move and again attacked undoing the 180 spin they had previously caused which was a help as I was not strong enough to bend this back. They continued to harass us for a further 30 minutes and then backed off again although we could still hear them breathing a short distance off. I turned on the under water lights we have to assess the damage and then with shipping approaching took the decision to make a run for it. In doing this I was violently shaking the wheel port and starboard so that they weee unable to put those noses on the ragged rudders to break more of the rudders off. They were immediately on us when we moved again but being unable to push the rudders due to the erratic movement they soon bored of harassing us and although they followed for a further few minutes they left us alone.,Predatory and not playful. They were aggressively diving off the aft quarter of the boat into a deep dive and then swimming straight for the rudders. The aggressive breathing next to the boat and what I would call bullying tactics were not indicative of ‘play’. When in the lazerette attempting to undo the massive damage they had caused I could hear them communicating with each other a lot. There were three individuals\ a large male\ slightly smaller male and the third individual who did not attack as much had some grey on its upper torso.,undefined,waning\88% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter130,2022-08-06 07:05:00,47 27.6000 N\ 5 3.4600 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Semi skeg,Sailing,5 - 7,Moderate,5 - 6 (17 - 27 knots),Dawn,25 - 50%,Over 10,40 - 200m,On,On,Dark colour,Black,Yes\ minor - will wait until the end of the season,No,We were sailing about course 210 with 2 persons on board on a broad reach with no mainsail and slightly rolled in/reefed genoa. I was asleep in the back of the boat and suddenly it felt like the boat's keel scratched a sandbank\ then 1 second nothing and then the keel scratched a sandbank again\ followed again with one second pauze and a third scratching of a sandbank. That was the start. I directly realised there are no sandbanks in the bay of Biscay and we had 150 meters of water below so then I thought we hit some fishing equipment. In a few seconds I was in the cockpit and my crew said there were orca's. A few meters from the boat next to the cockpit I saw on both sides (port and starboard) 2-3 orca's. Further away from the boat a few more. They were swimming along\ grey\ 3\5 to 4 meters long and definitly not the dolphins which we see daily around the boat. I swear they looked into the cockpit as we looked each other in the eye for a moment. I realised that a normal orca is 8 meters long\ black on top and with a white belly so this group were juveniles testing their hunting skills. We fully rolled in the genoa but because of the broad reach and the waves we sailed on bare poles still 2\5 - 3 knots. We played a dead bird by doing nothing and after a number of attacks on the rudder they disappeared. My crew had noticed that at the first attack\ what I experienced as a sandbank\ the steeringwheel was violently rotated both directions right through the autopilot.,See above for full story. The sandbank look-a-like experiences I could only explain as an attack by 3 orca swimming in a queue (behind each other) and hitting the hull one by one. As a sailingboat delivery skipper I knew what I could expect when I reached Cabo Finisterre but I was surprised that the orca had come North this far.,daytime,waxing\59% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter129,2023-05-06 18:50:00,36 5.0000 N\ 5 58.0000 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motorsailing,5 - 7,Calm,7+ (28 knots+),Day,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Black,No,No,Motoring astern about 15 min \ stopping engine\ they attacked the rudder hard port to hard starboard and back. After approx 1 hour we started the engine and full ahead to Barbate. The orcas follow us but stopped attacking Thanks to good weather conditions\ we have a well-documented interaction.,One of them (not the oldest) have a kind of tracker (?) .We have videos and photos of parents teaching a young killer whale how to catch a rudder. It didn't seem like their behavior was aggressive against us.,daytime,waning\99% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter128,2023-05-06 12:53:00,36 8.8970 N\ 6 2.1850 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Twin rudder,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,0 - 2,20 - 40m,On,Off,White/light,Coppercoat,Yes\ moderate - immediate repairs required,No,Coming from Lagos we wanted to sail as near as possible to the coast from Barbete to Gibraltar to avoid Orca-Attacks. Almost at Barbate and very near to the coast we as a single Orca swimming towards West very near to us. He turned around came to the boat which was heading straight to the coast and showed exactly next to the starboard helm. then it dived and gave us just one attack to the port rudder and disapeared. The whole action was over in less than 10 minutes. We went on to the coast\ anchored and viewed the damage.,see above,daytime,waning\99% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter127,2023-04-11 11:10:00,36 3.3500 N\ 6 11.3000 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,Over 10,200m+,On,On,White/light,Black,Yes\ moderate - immediate repairs required,No,Without any warning\ the orcas submerged and attacked without delay our stern and the rudder. While the propeller was still moving. We immediately followed the protocol from Orca. First\ there was only one Orca that attacked us but soon after the first approach\ two more and one baby Orca appeared. After approx. 2 min. we threw 5kg of sand in the water which had an immediate effect on them. They were backing off and soon they left us. 20 min. after the last Orca interaction\ we continued on our own. In the port after a diving inspection\ we found two major cracks in the rudder that needed to be repaired. By the way we were a Catamaran,It did not feel like they were attacking us. But they blew air when they started to approach our stern.,daytime,waning\71% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter126,2023-05-01 13:20:00,36 7.5000 N\ 5 53.3000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,Over 15m,Not towing,,,,Full skeg,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,0 - 2,40 - 200m,On,On,White/light,Black,Yes\ moderate - immediate repairs required,No,5 minutes before the 2 female Orcas approached our boat we saw a fin of a male Orca some 1\5 nm ahead of us. We immediately changed course to land but 5 minutes later 2 female Orcas were swimming towards our boat from behind\ dived about 2-3 boat length from us and went straight to our rudder. We kept on going\ didn't change speed nor course\ engine running\ all instruments on (sails weren't up). There were 4 hard hits on the rudder\ one of them turned the boat a little\ then they went. Unfortunately we didn't manage to ease the autopilot quickly enough (the reason for the damage on the steering cables we found later). 2 and a half minutes later they came back\ dived again and swam behind the boat for some seconds without touching it. But in this situation we threw a firecracker to side of the boat and immediately they left and didn't come back. We discovered a severe damage of our steering cables but could manage to motor to Barbate without assistance needed.,2 female Orcas approached our boat from behind\ dived about 2 -3 boat lenght behind us and then swam directly to our rudder. All the time they were interacting with our boat they were submerged. They swam right behind our boat and then hit the rudder 4 times. The whole interaction itself (near the boat\ touching it) only lasted 20 seconds. Then they left but came back 2\5 min. later. Same behaviour again. After 5 seconds they left because we threw a firecracker into the water. Because they didn't come out of the water near the boat we couldn't take any picture or video to identify them. The specified time datas are proven by a videoclip though taken by a GoPro which was fixed on the guardrail at the stern (we ourselves kept a low profile).,daytime,waxing\82% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
